Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%)
VotingEnsembleModel,99.4413407821229,99.44950477177773,99.4413407821229,99.44130338801686
StackingEnsembleModel,8.56610800744879,18.987201543380678,8.56610800744879,3.213499161942177
BoostingEnsembleModel,99.62756052141528,99.63365514737875,99.62756052141528,99.62753178078515
BaggingEnsembleModel,8.379888268156424,92.32233700571143,8.379888268156424,1.2958590105396532
